Data record 10/15,Not slowed,slowed,slower,slowest,Not slowed
,120,118,118,120,118
,118,118,122,118,118
,118,118,120,118,118
,118,120,118,118,118
,120,118,120,120,120
,120,118,118,120,118
,118,120,118,118,118
,118,82,118,118,120
,120,46,118,120,120
,118,28,120,120,118
,118,16,108,118,118
,120,10,60,118,118
,118,4,36,118,118
,120,2,20,118,120
,120,2,12,118,118
,118,0,8,120,64
,118,0,6,120,40
,118,0,4,124,30
,84,0,4,118,14
,48,0,2,118,10
,30,2,2,118,6
,18,0,2,118,4
,12,0,2,120,4
,8,0,2,118,8
,8,0,6,118,2
,4,0,2,120,2
,2,2,2,118,2
,2,0,2,118,2
,2,0,2,120,2
,2,0,2,118,2
,0,2,2,118,0
,2,0,2,120,2
,2,2,2,120,2
,2,0,2,118,2
,2,2,2,120,2
,2,2,2,118,2
,2,2,2,118,2
,2,2,2,120,2
,0,2,2,118,2
,2,2,2,118,2
,0,2,2,120,2
,0,2,2,118,0
,2,2,0,118,0
,2,2,0,120,0
,2,2,0,118,0
,0,2,2,118,0
,0,2,0,72,0
,2,2,6,42,0
,0,2,0,24,0
,0,2,0,14,0
,0,2,0,10,0
,0,0,0,6,0
,0,2,0,2,4
,0,120,0,2,-2
,-2,118,-2,2,120
,-2,126,0,2,120
,-2,118,0,2,120
,120,118,0,0,118
,120,120,-2,2,120
,118,120,-2,0,120
,120,118,-2,2,118
,118,118,-2,2,120
,118,118,-2,2,120
,120,118,0,2,118
,120,120,-2,2,118
,118,120,-2,2,120
,118,118,-2,2,120
,118,118,-2,2,120
,118,118,-2,2,118
,118,120,0,6,118
,120,120,0,2,118
,118,120,-2,2,118
,120,118,-2,2,118
,120,118,-2,2,120
,120,118,-2,2,120
,118,118,-2,2,120
,122,118,4,2,118
,118,118,118,2,118
,118,118,120,2,118
,118,118,120,2,120
,120,120,120,2,120
,120,118,118,2,118
,122,118,118,0,118
,120,118,118,2,120
,120,124,118,2,120
,120,118,118,2,118
,118,120,120,0,118
,120,120,118,0,118
,118,118,118,0,120
,120,118,120,0,120
,120,118,118,0,120
,118,118,120,0,118
,118,118,120,2,118
,120,120,120,0,108
,118,118,120,0,60
,118,120,118,0,36
,112,118,120,0,22
,62,118,118,0,14
,36,120,118,-2,10
,22,82,120,-2,4
,14,46,120,-2,4
,8,28,120,0,2
,6,16,118,-2,2
,4,10,118,-2,2
,4,6,120,-2,2
,2,4,120,-2,2
,2,2,118,-2,2
,2,2,118,-2,2
,2,0,120,-2,2
,2,0,120,0,2
,2,0,118,-2,2
,4,0,118,-2,2
,2,0,118,-2,2
,2,6,118,-2,2
,2,0,118,-2,0
,2,2,120,4,2
,0,2,120,-2,2
,0,2,118,-2,2
,2,2,118,-2,2
,2,2,118,-2,2
,2,2,118,-2,2
,2,2,120,-2,2
,2,2,120,-2,0
,0,2,118,-2,0
,0,2,120,-2,0
,2,2,118,-2,0
,0,0,118,0,0
,0,2,118,-2,0
,0,2,124,0,6
,-2,2,120,-2,0
,-2,2,118,0,0
,2,2,120,0,0
,0,2,118,0,0
,0,2,118,0,118
,6,0,118,0,118
,0,2,118,0,118
,120,2,118,0,118
,120,0,120,0,120
,120,2,118,0,118
,118,2,118,0,118
,118,0,118,0,118
,118,2,118,2,118
,120,4,98,2,118
,120,2,54,2,120
,120,0,32,0,118
,118,118,18,0,118
,120,120,10,2,120
,118,120,4,2,118
,118,118,2,2,118
,118,118,2,2,120
,118,118,-2,2,120
,118,120,4,2,120
,118,120,-2,2,120
,120,118,0,2,120
,118,118,-2,2,118
,118,120,-2,2,118
,118,120,-2,2,118
,118,120,2,2,120
,120,118,-2,2,120
,118,120,-2,120,118
,120,118,-2,118,118
,120,118,0,124,120
,118,118,-2,120,118
,122,118,-2,120,122
,118,120,-2,120,120
,120,124,-2,118,120
,118,120,-2,118,118
,120,118,0,122,118
,118,120,-2,118,118
,118,118,-2,120,120
,120,118,-2,118,120
,118,120,-2,118,118
,120,120,0,118,108
,118,120,0,118,60
,118,120,0,118,36
,90,118,0,118,22
,52,118,0,120,14
,30,118,0,120,8
,18,118,0,118,6
,12,118,0,118,4
,8,120,4,118,2
,6,118,0,120,2
,2,118,2,120,2
,4,118,2,120,2
,2,118,2,120,2
,2,118,0,118,2
,4,120,2,118,2
,2,118,2,120,2
,2,120,2,118,2
,2,118,2,118,2
,2,118,2,122,2
,2,104,2,118,2
,6,58,2,118,2
,2,36,2,120,2
,2,22,0,118,2
,2,14,2,118,2
,2,10,2,118,2
,2,6,2,118,2
,2,2,2,118,6
,2,2,2,118,2
,2,6,0,118,2
,2,2,2,118,2
,2,2,2,118,2
,2,2,2,118,2
,0,2,2,120,2
,2,2,2,120,0
,2,0,2,118,0
,2,2,0,120,0
,0,0,2,118,2
,0,2,118,118,0
,0,2,120,118,0
,0,2,118,118,-2
,0,2,118,120,120
,0,2,120,120,120
,34,2,120,120,118
,124,2,118,118,120
,118,2,118,118,120
,120,2,118,120,118
,120,2,118,118,118
,120,0,120,118,118
,118,2,118,118,118
,120,0,118,118,118
,118,0,118,118,118
,118,2,118,120,118
,120,0,120,118,118
,120,0,118,118,118
,118,2,120,118,118
,118,0,118,118,120
,118,0,118,118,120
,118,2,120,118,118
,118,0,118,118,118
,120,0,118,118,118
,118,0,122,120,120
,118,0,118,120,122
,118,0,118,118,120
,120,0,118,118,118
,118,0,120,122,118
,120,0,118,120,120
,118,118,118,120,118
,120,118,118,118,118
,118,120,118,118,120
,118,118,120,118,118
,118,120,120,118,120
,118,120,118,118,120
,118,118,118,118,118
,118,118,118,120,118
,118,118,118,118,120
,118,118,120,120,118
,118,118,120,118,118
,118,120,118,120,120
,120,118,118,120,118
,118,118,118,118,94
,120,122,118,120,54
,118,120,118,120,30
,66,118,120,118,18
,38,120,126,118,12
,22,118,118,118,8
,14,120,118,118,4
,8,120,120,118,2
,4,118,118,122,2
,4,120,120,118,2
,2,118,120,118,2
,2,120,118,120,2
,2,120,118,118,2
,2,118,118,120,2
,2,118,120,120,2
,2,120,120,118,2
,2,120,118,118,2
,0,120,118,118,6
,0,120,120,118,2
,2,118,118,112,2
,2,118,118,62,2
,2,118,118,36,2
,4,118,118,20,2
,2,118,118,12,2
,2,120,70,6,2
,2,118,40,2,2
,2,118,26,0,2
,2,118,16,0,2
,2,118,10,0,2
,2,118,6,0,2
,2,122,4,-2,2
,2,120,4,0,2
,2,118,2,-4,2
,2,64,4,-2,2
,2,38,2,-2,2
,2,24,2,-2,0
,2,14,2,0,2
,0,10,2,0,2
,2,6,2,-2,0
,2,6,0,-2,2
,2,4,2,0,120
,0,2,0,-2,120
,120,2,0,-2,118
,118,2,0,-2,118
,118,2,2,-2,120
,120,2,0,0,118
,118,2,0,0,120
,118,2,0,0,118
,120,2,0,0,118
,118,2,0,-2,118
,118,2,0,0,120
,122,2,0,0,118
,118,2,0,0,122
,118,4,0,0,120
,120,2,0,2,120
,120,2,0,0,120
,120,2,2,0,120
,118,0,-2,0,118
,120,0,-2,0,120
,118,2,-2,0,120
,120,0,-2,6,118
,120,0,-2,2,120
,120,0,0,2,120
,118,0,-2,2,118
,118,0,-2,2,118
,120,0,-2,2,118
,118,0,-2,2,118
,118,0,-2,2,118
,118,0,-2,2,120
,120,0,0,2,118
,118,0,-2,0,118
,120,-2,-2,2,118
,118,-2,-2,2,118
,118,-2,-2,2,118
,126,-2,-4,2,120
,118,-2,-2,2,120
,118,-2,-2,2,118
,120,-2,-2,2,118
,118,-2,-2,0,118
,118,120,-2,2,100
,120,120,0,2,56
,96,118,-2,2,32
,52,120,-2,0,18
,32,118,-2,2,12
,20,118,0,2,8
,12,120,4,0,4
,6,118,0,2,2
,4,118,0,0,2
,2,122,0,0,0
,2,120,0,-2,0
,2,118,118,0,2
,0,120,118,0,0
,0,118,118,0,0
,2,120,118,0,2
,2,118,120,0,2
,2,120,120,-2,2
,2,120,118,0,2
,2,120,118,0,2
,2,120,118,0,2
,2,120,118,0,0
,2,118,118,0,2
,2,118,118,-2,2
,2,118,120,-2,2
,6,118,118,-2,2
,2,118,118,-2,2
,2,120,118,-2,2
,2,118,118,2,2
,2,118,118,-2,2
,2,120,124,-2,2
,2,118,120,-2,2
,2,118,120,-2,2
,2,120,120,-2,2
,2,118,120,-2,2
,2,120,118,-2,2
,2,120,118,-2,2
,2,118,118,-2,2
,2,118,118,-2,2
,0,122,120,-2,2
,2,118,118,-4,0
,2,118,118,-2,120
,0,120,118,-2,118
,120,118,118,0,118
,120,118,118,-2,126
,120,118,118,0,118
,118,118,118,-2,120
,120,78,120,-2,120
,118,46,118,0,120
,118,28,118,0,120
,118,18,120,0,122
,120,12,118,2,118
,118,8,120,0,118
,120,4,118,0,120
,120,4,118,120,118
,118,4,120,120,118
,120,2,118,118,118
,120,2,118,118,118
,120,2,118,120,118
,118,2,122,118,118
,118,2,120,120,120
,120,0,118,118,120
,120,0,120,118,120
,118,0,118,118,120
,120,2,118,120,120
,118,0,118,118,120
,118,2,118,118,120
,118,0,118,118,118
,118,2,118,118,118
,118,0,120,118,118
,118,0,118,118,120
,120,0,118,120,118
,118,0,118,118,118
,120,0,118,120,120
,118,-2,118,120,118
,118,-2,120,118,120
,118,-2,118,118,118
,122,-2,118,120,120
,120,-2,102,118,118
,118,-2,56,118,124
,120,-2,32,120,86
,118,-2,18,118,48
,68,-2,10,118,28
,40,-2,6,118,16
,22,-2,2,118,10
,12,-2,2,118,10
,8,-2,0,118,2
,6,-2,0,118,2
,2,-2,2,118,2
,2,-2,-2,120,0
,2,0,-2,120,0
,0,4,0,118,0
,2,-2,0,118,0
,0,118,0,118,0
,0,120,0,118,0
,-2,118,0,118,0
,0,118,0,120,0
,0,120,0,122,0
,0,118,0,118,0
,2,118,0,118,2
,2,118,0,120,2
,2,120,0,118,2
,2,118,0,120,2
,2,118,2,118,2
,2,118,2,120,0
,2,118,2,120,2
,2,118,0,120,2
,2,120,0,118,2
,2,118,2,118,2
,2,118,2,118,2
,2,118,2,118,0
,2,118,6,118,2
,2,118,2,118,2
,2,118,2,118,2
,2,120,2,118,4
,2,118,2,118,2
,2,118,2,118,2
,2,120,0,118,2
,0,118,2,120,2
,2,118,2,118,2
,2,122,2,118,120
,120,120,2,118,120
,120,120,2,120,120
,118,120,2,118,118
,120,120,2,118,120
,118,118,2,118,118
,118,120,2,124,118
,120,118,2,118,118
,118,118,2,118,118
,120,120,2,120,120
,118,120,0,118,120
,120,120,0,118,120
,120,118,0,118,118
,118,120,2,120,118
,118,120,2,118,120
,126,120,0,120,118
,118,118,0,120,118
,118,118,0,120,118
,118,118,0,118,118
,120,94,0,120,120
,118,54,0,120,118
,118,32,0,118,118
,120,20,0,118,118
,118,12,0,120,118
,118,8,-2,118,118
,118,4,118,120,120
,120,4,118,118,118
,118,2,118,118,118
,118,2,118,118,120
,120,6,118,120,120
,118,0,120,118,118
,120,0,118,118,118
,120,0,118,120,118
,120,0,120,118,118
,120,0,120,118,118
